"Estimations de la population selon l'âge et le genre, Québec, 1?? juillet 1971 à 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population selon le groupe d'âge et le genre (n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Âge et genre,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022?,2023?,2024?
,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Total (Genre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-69 ans,162565,168294,172840,177015,182051,188818,194129,198648,204160,208795,212739,215374,216923,218281,222858,230439,241171,250099,260884,269293,275262,276830,280367,282068,284527,287059,291947,293751,293687,292614,291922,288450,288818,294234,300629,312892,329499,347670,365936,385600,403720,424939,442241,458402,470789,482801,489292,497442,509295,524512,537240,556097,574488,588722
,70-74 ans,114205,117544,122001,126635,130788,135092,140255,144250,148543,153816,159314,163344,167963,173092,177892,181311,184980,188078,190884,196382,204037,212683,219661,227088,233000,237016,240247,245157,248523,253241,257442,261948,263646,263826,263237,263082,261880,264190,270840,279198,291806,304850,319853,335412,352246,369141,390072,407676,423869,435879,447014,454301,463767,476899
,75-79 ans,74544,76658,78375,80960,83466,86931,89488,93056,96904,100682,104936,109630,113220,116836,121104,125212,129680,134460,139859,144860,148057,150218,152356,153617,157052,162796,170881,177962,185990,192846,198581,202068,206796,209697,213474,217298,223221,227006,228991,230160,230757,230136,231752,237051,242807,252491,265423,279913,295088,311152,326767,346841,363300,378468
,80-84 ans,42218,43056,43975,44717,45916,47685,49895,51524,53865,56025,58550,60991,63541,66849,69894,72971,76911,80008,83285,86818,90682,93845,96965,100041,102840,104932,106945,109073,111205,115816,121806,128744,135031,141514,147656,153269,156813,161630,165977,170983,175914,180116,182332,183509,183395,183765,183903,186053,191108,197043,206808,217454,229696,242737
,85-89 ans,18423,19047,19790,20556,20859,21468,22019,22610,23464,24783,26851,28307,29430,30708,32035,33379,35241,37252,39276,41448,43535,45502,47153,49025,50900,52993,54807,56942,59372,62126,64481,65794,67668,69683,72932,78508,83862,89110,94341,99349,103112,106522,109860,112908,115462,119129,123108,125353,126747,126744,127681,128356,129924,133590
,90-94 ans,6493,6832,7206,7619,8126,8899,9176,9737,10330,10435,10673,11464,12171,12885,13648,14445,15422,16250,17289,18388,19565,20827,21826,22600,23403,24188,25289,26348,27360,22728,23751,25069,26156,26953,27720,29056,30505,32456,34281,36825,39758,43114,45798,48619,50773,53628,55101,56848,58550,59788,62907,65154,66386,66405
,95-99 ans,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5268,5477,5618,6036,6239,6561,6978,7339,7937,8454,9130,9737,10311,10871,11445,12199,13439,14523,15129,15918,16103,16609,17580,18548,19503
,100 ans et plus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,743,774,800,837,873,837,848,941,1064,1134,1256,1389,1486,1514,1633,1755,2003,2081,2165,2227,2150,2266,2500,2589,2620
,Âge médian (ans),25.6,26,26.4,26.8,27.2,27.6,28,28.4,28.8,29.2,29.6,30,30.5,30.9,31.4,31.8,32.3,32.8,33.2,33.6,34,34.4,34.9,35.3,35.7,36.1,36.6,37.1,37.6,38.1,38.5,38.9,39.3,39.7,40.1,40.5,40.7,41,41.1,41.2,41.4,41.6,41.8,42,42.2,42.3,42.4,42.4,42.4,42.4,42.7,42.8,42.7,42.5
,Âge moyen (ans),29.9,30.3,30.6,30.9,31.2,31.4,31.7,32,32.3,32.6,32.9,33.2,33.5,33.8,34.1,34.4,34.7,35,35.3,35.5,35.7,35.9,36.1,36.4,36.6,36.8,37.2,37.5,37.8,38.1,38.4,38.7,39,39.3,39.5,39.8,40,40.3,40.5,40.7,40.9,41.1,41.3,41.5,41.7,41.9,42.1,42.2,42.3,42.4,42.6,42.8,42.8,42.8
